word,freq
혼수상태,2
오토,7
웜비어,4
주안,1
점,315
시작,278
양국,31
미관,2
사안,14
논의,85
기재,16
시대,118
무역,51
보복,109
슈퍼,43
발동,22
하나,200
백악관,84
시진핑,37
중,549
합의,64
대화,202
해법,38
월간,22
가동,43
미제,2
총,170
결산,11
군사,130
옵션,55
장전,4
정의용,12
맥,61
매스,40
터,71
분간,12
통화,75
단계,72
별,71
대응조치,2
긴밀,18
공조,23
휴가,145
안보,146
라인,33
회의,123
가운데,132
현지,113
시간,458
장소,31
뉴저지주,12
베드,20
민스터,12
자신,253
소유,23
골프클럽,8
국가,199
브리핑,12
허버트,15
보좌,59
관,247
왼쪽,60
마이크,4
펜스,15
부통령,17
기자회견,37
자리,137
괌,152
뭔가,7
지금껏,10
보지,21
못,225
일이,86
뉴시스,61
령,25
포위,41
사격,45
위협,137
대해,284
이틀,42
발언,134
중국,434
갈등,41
싸움,17
전쟁,260
위험,43
치,87
위기,98
감,85
관영,17
언론,82
통해,318
먼저,65
중립,44
취지,33
환추,7
시보,7
공격,147
신문,44
한반도,146
불확실,6
점차,16
상황,282
만약,26
영토,5
발사,167
강조,163
내셔널,2
직후,55
무도,9
라며,207
다시,144
선제,24
선,227
즉답,1
트위터,46
지혜롭,2
행동,83
사용,150
해결,69
김정은,154
길,90
찾기,19
바란,23
글,104
타격,91
계획,260
공개,141
원색,4
비난,48
노동신문,6
조선,96
세상,86
판,28
갈아엎,1
의,552
결전,2
조국,6
천만,2
군민,1
전민,2
총결,1
사전,35
또,298
제재,277
두,299
칼,30
아들,79
우리,333
인민,16
생존권,1
말살,1
사상,28
최대로,1
백년,1
숙적,1
하자,62
주장,183
한편,80
국가안보실,10
여,282
한미,108
국민,184
안전,100
확보,95
위해,445
조치,106
약속,34
박수현,7
청와대,147
대변인,42
구체,53
구자룡,3
박용,19
특파원,68
황인찬,18
민주,27
언행,14
공화,12
콕,18
리스크,27
코스피,31
연속,85
경제,245
부처,57
대응,108
방안,121
긴급,24
카드,94
트윗,19
무조건,19
보호,54
메시지,64
탄도미사일,49
수백,27
오차,18
불가능,14
기술,230
수준,164
과소,14
평가,249
해선,14
교육부,93
고교,30
내신,19
절대평가,79
유보,3
내년,185
학년,97
성취,7
적용,184
대학,152
수학,46
능력,112
시험,129
최소,46
과목,87
정작,21
학교,129
수업,46
및,258
학생,145
부전,1
직결,4
현행,19
상대평가,18
방식,116
교육,225
현장,130
혼란,36
지적,157
서초구,32
교대,25
수능,124
개편,24
공청회,14
학부모,22
문제,346
본질,7
목소리,73
교육과정,16
노,51
속,157
무한,5
경쟁,72
최대,147
희생양,1
제기,81
박,250
춘란,2
차관,23
시안,13
도중,15
질문,54
입학,43
석차,2
등급,28
성적,50
가야,6
생각,294
그,870
방법,69
학점,14
관심사,8
체제,30
하의,1
방향,36
그간,29
새,155
부터,26
시각,27
우세,2
이과,2
공통,14
각자,7
선택,107
방대,7
여행,45
지리,7
스포츠,89
생활,139
음악,70
감상,17
개설,12
소통,33
협력,105
기반,44
지식,25
역량,17
과정,135
기록,257
하라,72
이유,163
가장,256
지은,24
림,5
경희대,6
교육대학,2
수강생,2
시,418
때문,456
무용지물,4
교사,119
김모,27
씨,875
진학,24
부장,176
달성,26
정상화,18
모순,4
토론,27
사실,226
밀고,5
전면,43
시행,102
추진,127
온,116
왜,76
돌연,7
일정,63
답,58
일반,80
편차,3
자사고,1
우수,24
쏠림,5
부담,158
안도,6
독약,2
암기,1
절충,1
여당,28
노무현,59
말기,6
등급제,2
실패,66
재연,5
완전,19
대입,18
가중,6
정치,169
당시,184
무력,35
실력,38
소송,39
등장,43
정도,200
임,94
우선,77
우경,8
교실,17
결사,3
반대,98
교육학,1
부모,58
회,243
사교육,22
걱정,57
단체,105
공정사회,2
모임,24
피켓,2
시위,41
벌이,18
양회,8
영어,55
영역,38
변별,13
선발,119
정시,6
종합,72
전형,19
수시,9
이만기,4
유,46
웨이,14
교육평가,3
연구소장,12
비중,43
수험생,28
입시,18
통합,87
사회,252
과학,103
외국어,19
한문,8
국어,25
반영,43
가능성,211
축소,29
따라서,21
공부,49
최,198
상위,25
승부,25
갈릴,1
득점,24
지원,313
학과,22
골,45
우연,1
철,41
진학사,2
연구소,30
수석,70
연구원,86
실시,58
안정,74
자칫,14
차로,32
출제,12
경우,237
점수,26
더욱,70
기본,64
부와,7
교과,3
관리,162
린다,17
활동,131
부교,2
중학교,19
생,54
자녀,54
권모,1
엄마,29
닥치고,12
인근,63
풀이,24
동네,21
학원,41
학종,1
외국인,130
하루,96
순,42
당국,66
변동성,5
국가부도,2
지표,25
상승,55
발,79
금융시장,8
강타,10
비상,35
이찬우,1
기획재정부,25
보,99
주재,34
기관,66
합동,10
대처,20
핵실험,41
개최,90
이례,23
참석자,11
금융,141
외환,7
확대,133
향후,44
전개,28
파급,10
폭,41
깊이,9
배제,25
입,89
뜻,100
당국자,22
사태,72
만큼,137
이벤트,30
국내,240
앞,226
의미,124
실제,136
주식시장,1
충격,35
모습,148
역,80
전날,62
종가,5
아래,41
최고,187
무려,13
삼성,245
전자,125
하이닉스,27
시가총액,5
종목,109
하향,6
보이,48
어치,13
투,13
매하,1
자금,66
규모,165
이재만,2
금융투자,7
팀,325
아직까지,9
기업,243
실적,27
증시,22
뒷받침,7
단기,22
반등,9
달러,111
환율,20
외환시장,4
장,93
부도,7
스와프,2
에서,275
박성민,10
이란,100
무슨,19
번,193
언급,92
제시,42
포격,14
완성,51
시점,29
중순,31
의식,37
김락겸,4
사령관,72
최종,79
최고사령관,1
동지,2
태세,17
명령,20
그때,24
내비,13
친,62
해석,60
예방,72
의회,43
폭격,5
막,34
란,29
제목,16
방송,96
인용,20
헌법,19
선포,12
권한,24
주지,19
현실,90
결심,23
거의,59
제정,12
승인,17
독자,27
금,112
소요,14
차단,51
법안,39
처리,33
한계,22
군사시설,1
정밀,18
전이,11
라면,57
유명무실,3
카터,3
라이스,5
호전,4
비판,123
부서,8
찬반,10
여론,43
쪽,52
갈리,2
자제,19
촉구,27
강력,26
견해,8
민주당,60
하원의원,2
렉스,23
틸러슨,54
국무장관,24
서신,1
내부,61
선전,24
준,115
민감,23
각료,8
최대한,34
주의,51
달라,79
전직,21
정치인,24
가세,2
지미,3
성명,88
러시아,107
촉진,9
교전,5
조언,41
수전,7
관도,5
뉴욕타임스,17
기고,5
반응,65
전례,10
아주,23
공화당,21
내,326
파,48
린지,10
그레이엄,7
상원의원,17
세력,37
마코,1
루비,1
오,49
듣기,7
마치,51
얘기,96
옹호,3
반면,101
정권,115
교체,32
월스트리트저널,9
상반,6
당근,3
몽둥이,3
작동,15
예의,6
결여,7
아이디어,19
반복,23
장관,288
일축,7
배스,3
고카,3
라디오,6
군,188
무니,3
논란,122
헤더,1
나워트,1
서열,11
꽤,14
힘,123
평가절하,1
반박,30
불협화음,1
촉발,6
설전,9
일촉즉발,8
충돌,37
론,78
압박,123
주목,63
저지,20
권고,12
모양새,11
방점,2
경거,2
망동,2
무모,9
의지,49
간접,15
음,48
여준,24
오랫동안,8
교묘,5
전혀,45
게임,44
극장,13
주요,99
관객,22
베이징,30
최악,14
대중,35
것임,6
우호,8
상호,14
원조,18
조약,20
일방,16
타국,2
침략,7
모든,165
노력,102
다해,10
제공,181
자초,7
상의,23
시사,23
책임,72
환,32
중조,2
위반,39
손해,15
위배,5
홍콩,20
사우스차이나,2
모닝,3
포스트,6
인터뷰,71
핵무기,36
개발,246
방어,33
쌍방,1
세계,378
평화,48
각국,23
다한,4
규정,54
논리,18
해군,27
구축함,1
남중국해,23
인공,53
섬,65
미스,2
치프,1
암초,1
메이지,2
해리,7
이내,30
항행,5
자유,79
작전,73
영자,3
글로벌,71
타임스,4
협조,14
속셈,4
북핵,74
억제,20
사령탑,14
비공개,7
던,11
퍼드,2
합참의장,55
방한,7
크게,179
양,96
측은,58
재,106
확인,119
책임자,21
정,154
실장,46
요청,75
측,43
관심,137
좀,44
깊숙,1
관측,32
최근,318
남북,27
국,145
시나리오,15
응징,6
실험,29
요격,19
한층,7
우발,7
미국인,19
철수,10
컨틴,12
전시,68
플랜,16
까지,77
거론,37
추측,7
가정,35
완화,33
포괄,6
죽음,27
백조,10
사진,262
공군,67
폭격기,18
임무,7
수행,36
태평양,25
사령부,14
다수,14
계정,8
게재,9
캡처,8
미군,110
무기,36
외,49
지프,7
방문,76
연합,47
방위,41
공식,80
광복절,12
경축,3
사,125
동북아,21
정세,10
강경화,38
외교부,70
병기,23
연일,16
향,87
숨,14
검토,86
상세,11
정론,1
극단,14
끌,13
감히,9
불사,23
폭언,13
줴쳐대,1
지껄이,1
깡패,4
무리,14
무자비,2
소탕,6
항전,3
기세,8
고조,38
적대,4
온갖,6
책동,2
여지,11
분쇄,1
박병광,1
연구실,8
서로,42
치열,27
고민,47
평양,69
김일성,9
광장,32
군중,4
대회,236
군인,55
집회,11
인민보안성,1
군무,2
경찰,147
대규모,40
주민,102
공포,45
피로,14
극,4
아시아,76
소식통,12
중앙정부,2
정해진,7
순서대로,4
식,31
긴장감,10
단호,14
전군,5
지휘,50
충남,26
계룡대,2
육군본부,1
통제,33
화상회의,7
송영,9
국방부,66
성동,4
격,19
서식,9
전술,14
언제,39
자행,7
즉각,23
빈틈,4
지시,104
국방일보,1
환경부,27
경북,73
성주,24
사드,145
고고,29
미사일방어,36
체계,73
기지,68
배치,95
차례,116
무산,14
전자파,26
소음,12
측정,47
차량,70
진입,74
헬기,21
타고,42
검증,34
대안,14
공중,10
참관,8
녹록,3
설득,19
참석,60
대가,63
시도,68
격화될,1
순조롭,2
진행,169
미지수,5
기상,7
이륙,3
제출,40
수치,22
절차,43
환경,106
소규모,15
마무리,31
협의,47
보완,15
종결,4
근거,40
단축,12
강행,12
일과,16
연기,24
임시,14
운용,18
도로,55
공사,129
완료,28
여부,54
재차,9
비용,54
청구,23
사국,2
원칙,31
보고서,39
부지,13
시스템,67
주한,40
주둔,9
인상,89
상당,13
액,63
비,353
분담,7
지불,14
손효주,17
주성하,8
사과,40
재시,8
급,115
지연,19
막바지,12
화성,75
형,87
정밀도,3
의견,67
분분,2
소총,2
스스로,61
허풍,4
증명,10
실행,16
중거리,13
비행,37
사거리,23
명시,17
단위,22
속도,79
감안,32
범위,16
내의,4
어림,2
순항미사일,4
종류,15
집무실,9
창문,5
조준,26
년대,61
대남,6
용,88
단거리,4
스커드,3
정확도,3
대륙간탄도미사일,48
물론,114
본토,21
미니트맨,8
김종환,2
명중,4
률,86
착각,10
듯,96
섣불리,3
주변,98
공해,7
영해,15
해안선,2
번질,3
곧,22
통째,3
도박,2
적지,47
추정,25
개량,3
지대,11
함,73
겸용,1
목표,106
임의,4
바늘,5
귀,22
개별,16
표현,95
과장,86
장영근,2
항공대,2
항공우주,9
기계공,2
학부,17
자신감,27
측면,18
술,20
취임,78
일간,26
방통위,15
과기부,2
공영,17
업무,123
역대,74
매년,63
각,70
현안,22
수직,4
형식,15
분,261
쟁점,7
배정,6
유관,6
그룹,154
유도,27
과학기술,65
정보통신부,14
방송통신,25
위원회,193
보건복지부,19
고용노동부,9
여성가족부,7
현,103
무관,20
인선,13
중소,25
벤처기업,3
출범,35
겸,34
별도,22
영빈,2
출입기자단,2
대본,5
목적,54
유근형,16
녹차,9
입성,7
육사,48
출신,167
김영주,6
후보자,42
인사청문회,9
딸,47
재산,34
형성,25
도마,2
조카,1
국회,65
인턴,31
특혜,3
채용,53
질의,6
의원,154
청문회,6
통과,71
관행,24
신보라,1
소득,174
현금,21
자산,49
예금,11
합리,12
의심,34
김,313
오래전,9
친척,3
로부터,48
세뱃돈,1
용돈,5
과외,5
조교,1
장학금,22
해명,25
노동,51
설립,47
의사,74
이용득,1
노조,43
미가,1
근로자,64
기구,28
환노위,1
청문,3
경과,10
채택,48
최단,3
유성열,5
당일,13
지도,40
면담,13
사장,69
방문진,3
문책,2
블랙리스트,12
의혹,75
불법,41
검찰,196
고발,12
효성,7
위원장,97
오른쪽,39
회의실,5
추미애,8
접견,3
정당,30
저,66
책무,9
김동주,4
공적,8
공정,37
물,93
퇴진,6
방송인,1
와,179
임기,21
보장,80
우원식,5
원내대표,9
제작,64
거부,40
정연주,2
대법원,15
임명,68
해임,14
대주,7
주인,27
문화,222
진흥,17
이사장,41
이사,32
면도,3
궁극,10
사퇴,30
조사,233
여러,91
가지,95
나락,1
원장,42
소임,2
또한,62
특정,27
구실,3
강,162
효상,4
권력,29
방송사,5
저격수,1
역할,77
자임,2
상대로,36
무효,2
소송도,1
카메라,18
성향,45
문건,11
명백,6
불법행위,1
이자,65
부당,21
행위,40
고용부,8
혐의,109
근로,30
감독,149
결방,2
보도국,6
취재,38
선언,44
저널리즘,2
복원,10
김장,7
고영주,1
보직,30
박성진,9
이서현,3
불공정,10
황우석,22
조작,31
연루,13
낙마,1
박기영,17
혁신,75
본부,48
과천,13
청사,28
퇴근,23
본부장,68
본인,43
존중,13
사표,4
수리,10
나흘,13
만인,6
자진,3
고위,36
공직자,9
안경환,1
법무부,46
조대,1
엽,7
김기정,2
차장,82
네,32
서울대,28
논문,23
공저,3
황,31
과제,44
위탁,9
정치권,33
시경,24
과기,13
정통부,7
출입,6
용지,8
자료,61
분량,20
사건,136
지목,11
토로,10
주홍글씨,1
면서,50
시절,66
비서,20
주동,1
적극,69
가담,9
항변,3
사고,70
지고,15
삶,71
가치,66
관료,13
굴레,1
가혹,6
고도,30
자세,20
경청,2
지명자,1
판단,91
기회,84
추이,4
갈수록,10
송구,4
배경,26
여권,11
엄중,17
다음,112
매우,55
드릴,2
말씀,7
논평,9
당내,10
사정,20
야당,24
부실,11
보나,2
코,55
보은,2
홀로,13
코드,9
국정,43
야기,4
저항,26
국민의당,43
김유정,1
편이,23
부적,7
앞뒤,7
우,1
범,26
꼬집었,4
우열,4
자진사퇴,1
기재부,10
예비,26
타당성조사,1
선심,6
공약,30
부추,12
사업,363
상당수,13
세금,75
낭비,3
타당성,12
올린다,4
자본,15
심사,29
예산,81
즉시,13
남발,1
재정,62
건전성,5
적신호,1
현재,244
전체,115
국비,5
착수,21
미리,18
경제성,4
면제,15
수가,37
셈,56
수도권,67
광역급행,5
철도,37
파주,4
연장,41
이나,19
서해,17
연도교,2
백령도,21
용기,19
포항,17
시설,142
축,22
민원,7
대부분,70
그동안,77
좌초,4
호남,19
고속도로,40
지선,6
유성,2
회덕,1
확장,20
대구,58
다사,1
고령,14
다산,5
광역,8
문턱,15
금액,46
국내총생산,7
필요성,18
경제정책,7
이승철,1
국장,40
미만,16
심의,44
조동근,2
명지대,7
경제학,16
하반기,26
개정,79
여야,22
세종,63
박재명,11
김준일,9
대상,216
억이,1
전력,121
수급,75
초안,11
적정,22
예,59
발전소,15
고장,16
여유,24
발전,122
설비,50
원자력발전소,8
생산,110
차질,13
원전,112
화력발전소,3
필요,69
탈,69
인위,10
자원부,14
코엑스,9
전기,36
연말,15
확정,56
정비,28
해,105
정지,11
화력발전,5
대체,17
민간,45
구성,80
워킹,2
예측,50
가량,49
조정,82
기조,25
꿰맞춘,1
기와,6
절감,10
실어,8
규,10
원자핵,5
공학,5
산업혁명,31
사물인터넷,6
빅데이터,19
분야,89
고려,56
경향,15
용량,32
늘,79
순환정전,1
신고리,28
호기,33
공론,48
재개,24
원자력,21
학회,34
간담,26
사실관계,3
팩트,9
체크,8
운영,172
감축,41
신호탄,12
공장,81
급전,34
계약해지,7
투기,106
약발,3
달리,92
사그,2
벌써,18
쏠,7
설계,39
주도,66
김수현,15
날인,9
서지,16
유세,16
불구,21
여력,11
시가,19
이명박,18
환원,3
갑,18
국민은행,13
스타,51
문단,6
취득,17
등록세,2
인하,32
병행,13
퇴로,8
위축,16
결정,167
타,39
국토교통부,28
택지,7
당,104
원대,26
중반,18
여기,80
시공,10
후분,2
고가,19
토지,22
허가,16
구역,22
제한,89
관할,10
지방자치단체,22
전월세,1
임차,11
계약,95
갱신,4
청구권,2
주거,62
복지,66
집주인,8
세입,17
전가,2
가열,3
창전동,1
맞벌이,7
직장인,33
이모,9
마련,150
꿈,69
지구,119
전용,51
면적,59
이하,71
제로,17
부양,29
가족,94
통장,14
가입,52
당첨,31
턱,7
기존,127
동시,69
사려,8
절반,54
한도,39
대의,25
피해,82
분통,3
상치,3
곳곳,29
속출,6
유예,10
곧바로,25
자도,9
애꿎,4
불만,33
부분,43
계층,17
전방,25
중도,19
소급,10
총부채상환비율,8
이전,81
주자,23
공고,8
신길,1
센트럴,1
곳,358
고객,65
안내,15
당황,15
중이,87
부부,78
집값,40
조건,50
분기,70
가구,146
요건,27
사항,21
잔금,11
등기,7
설정,15
계약금,8
서모,3
형편,8
놨다,1
갑자기,21
일률,2
형평성,3
영등포,3
강동,13
관악구,3
급등,20
성북,2
강북구,2
상승세,19
더뎠던,1
일각,39
고향,34
제외,64
비아,4
거림,3
심교언,1
건국대,9
삐걱,4
소리,42
정교,8
적응,28
손가인,9
좀처럼,4
창구,9
직원,120
무엇,68
국도,11
실무,10
머리,38
대고,6
자주,40
답변,23
회사,114
배포,8
정리,40
남아,22
서초,10
송파,12
팔,53
각각,80
산다,12
처분,31
원래,19
증빙,2
서류,14
계약서,12
신고,47
필증,1
입금,5
인,149
주로,36
시공사,5
협약,22
마찬가지,22
적법,3
일자,32
수분,5
양자,22
가의,15
인수,30
만기,9
간주,7
금리,45
취급,12
별로,45
문의,43
본격,65
중과,25
세법,21
송충,5
큰손,3
오락가락,4
여윳돈,7
피난처,2
빙하,2
외화,11
매입,18
눈,102
아마,17
상가,43
자사,4
소식,39
접,19
근심,3
과세,56
마당,14
국세청,18
레이더망,1
셈법,1
처,96
지난,68
당장,39
고액,7
표면,8
표적,18
오래,28
경험,99
법칙,2
김지영,6
신한,13
센터,170
어차피,5
세도,5
분위기,87
영업,57
공인,33
중개사,1
정말,47
낼,40
유망,10
지기,3
비록,9
오히려,39
장벽,11
부자,24
선호,25
여과,2
가장자리,2
애물,1
시댁,2
친정,3
부모님,16
생활비,11
학비,3
결혼,27
궁,3
전역,45
이제,98
목돈,3
큰일,6
하루아침,3
잠재,2
범죄자,5
송파구,14
정상,76
와선,1
팔지,3
협박,21
하니,20
울화,1
치민,1
물색,4
봄,21
박승,2
우리은행,4
투체,1
어스,2
환차,1
유학,7
대형,80
유심,2
살피,2
서재,2
미래에셋,2
대우,10
갤러리아,1
상무,11
대장,58
분할,5
고준석,1
신한은행,7
자문,18
층,167
꼬마,7
빌딩,5
수익,80
땅,37
건물,61
근린,5
편,36
강유,11
진,94
외래,10
진료,38
노인,55
환자,73
초과,28
정액,16
산정,7
건강,113
보험,92
취약,5
의료,77
원만,9
내야,22
배,161
가까이,27
초진,1
즉,14
복지부,12
정률제,1
원일,1
원인,36
종,33
내면,14
김호,7
경,45
공석,5
직속,6
송재호,13
제주,108
관광,104
송,20
유네스코,6
기획,87
균형발전,7
행정,54
분과위,1
역임,4
로서,36
구현,12
적임,3
향군,13
회장,224
김진호,13
예비역,5
육군,94
재향군인회,1
선거,55
결선,41
투표,38
끝,91
표,60
신임,43
선출,10
고려대,31
사학,11
학군,4
임관,3
사단,27
군단,9
년생,8
작가,59
민음사,2
주관,13
수상자,10
선정,55
육아,8
경력,22
주부,6
주인공,43
세운,32
소설,49
여성,110
일상,23
차별,22
불평등,6
위트,1
에피소드,3
상반기,51
베스트셀러,8
상금,11
손,115
택균,12
베테,14
유엔,129
직인,1
커뮤니케이션,5
담당,91
사무,14
안토니,1
구테흐스,1
총장,53
앨리슨,2
메일,17
차기,14
공공,92
지명,22
영국,85
베를린,22
국제,164
언론인,15
유럽,56
독일,83
통일,24
옛,39
소련,6
붕괴,9
합류,15
브리스틀,1
명예,32
법학,10
박사,18
학위,7
결손,1
아동,44
여명,9
억원,10
기부,34
전부,14
외제,2
요트,6
파티,13
호화,3
가짜,24
영장,14
사기,32
침체,15
권,56
밥,10
끼,26
마음,110
자영,9
업자,14
신모,2
중랑구,3
불우,2
사단법인,6
소개,62
낯선,14
이름,104
영수증,11
발행,17
후원,68
안부,5
정기,18
안심,12
인터넷,59
홈페이지,29
홍보,65
유명,29
연예인,8
원금,6
지출,30
명세서,1
게시,14
매달,16
개인정보,5
무언가,8
성의,14
경찰청,31
지능,44
범죄수사,5
상습,2
윤모,2
구속영장,14
법인,36
명도,14
불구속,12
입건,12
모금,6
고작,7
간부,26
후원자,11
십시,1
포르셰,1
고급,26
승용차,8
저택,4
선상,3
기도,65
수집,24
자체,66
데이터베이스,3
구축,35
지점,27
무작위,1
꼬박,1
거액,7
쾌척,1
자동,20
이체,4
소액,9
명세,4
신경,31
악용,4
허위,13
발급,17
공익,7
주무,7
성격,30
제각각,10
사후,11
인력,42
상속세,1
증여,9
규칙,14
수입,49
공시,14
수사,225
온라인,62
사례,69
권유,10
중단,96
대서,3
뒤통수,2
기분,17
심정,11
누리꾼,12
어디가,1
싹,6
가이드,6
두준,1
범행,16
도움,86
절실,7
이웃,16
어려움,19
구특교,4
등친,1
잠실,22
한강,30
공원,66
몽땅,3
종이배,4
경주,19
참가자,17
직접,183
저으,1
건너,14
미납,3
추징,9
환수,10
전두환,8
회고록,11
인세,5
중앙,101
검,70
사부,5
강지식,2
판매,102
출판사,8
압류,6
추심명령,1
국고,7
앞서,76
민주화,25
운동,67
광주,112
치유,10
위무,1
굿,2
제물,11
비유,7
빚었,4
연락,22
이야기,111
내란,1
반란,3
수괴,2
무기징역,1
판결,34
집행,39
시효,9
공무원,37
범죄,35
몰수,4
특례법,1
동준,5
흥사단,2
민족,11
창립,10
주년,44
문화제,5
흥민통,6
강원,66
인제군,2
비무장지대,3
생명,48
동산,2
기념,58
일본,364
청년,132
참가,55
주제,51
나누기,2
모,24
만들기,28
퍼포먼스,4
사명,6
상생,21
타인,8
교류,18
기여,24
동북공정,1
일환,8
고구려,2
유물,12
박물관,69
지안,1
알리,9
용상,1
상임,11
한중일,8
분단,2
체감,5
통섭,1
대장정,1
계기,33
양영,2
공동,113
백두산,1
옌볜,1
행사,175
인제,3
이인모,5
한마음,2
승진,14
평창동계올림픽,11
조직,68
미디어,31
파견,59
양한열,1
추진단,10
근무,66
박형식,1
강종,1
박상신,1
총무,11
류민수,1
사무관,2
정실,4
민병성,1
혜경,3
평생,24
직업,41
김상훈,2
이주환,1
최경식,1
총국,4
창환,1
춘천,14
편성,12
김선일,1
이영일,1
주태,1
박정애,12
새마을,1
부녀회,1
초대,18
별세,108
룡,13
홍익대,3
부인,76
태준,12
인천대,10
태권,13
호서대,1
모친상,47
수진,12
바이올리니스트,8
조모,18
허지은,12
뷰티,4
최정윤,13
건축사,1
사무소,34
부소,1
시모,18
아산병원,11
발인,68
백정희,1
양준혁,2
야구,21
소프트볼,2
협회,69
